iter	Passed	Remaining
404	9296	13657
405	9322	13638
406	9349	13622
407	9373	13600
408	9399	13582
409	9426	13565
410	9449	13541
411	9469	13515
412	9494	13495
413	9519	13475
414	9547	13458
415	9572	13438
416	9593	13412
417	9618	13392
418	9646	13376
419	9673	13358
420	9695	13333
421	9717	13309
422	9743	13290
423	9763	13264
424	9787	13241
425	9812	13220
426	9834	13197
427	9858	13175
428	9887	13160
429	9913	13140
430	9941	13124
431	9971	13110
432	9994	13087
433	10023	13072
434	10049	13053
435	10078	13037
436	10100	13012
437	10123	12989
438	10147	12967
439	10172	12946
440	10194	12922
441	10217	12898
442	10241	12876
443	10262	12851
444	10289	12832
445	10310	12807
446	10336	12787
447	10363	12769
448	10389	12749
449	10417	12732
450	10441	12710
451	10462	12684
452	10484	12660
453	10505	12634
454	10529	12612
455	10559	12596
456	10587	12579
457	10610	12556
458	10630	12529
459	10660	12514
460	10687	12495
461	10710	12472
462	10733	12448
463	10758	12427
464	10786	12410
465	10812	12390
466	10839	12371
467	10866	12352
468	10887	12327
469	10912	12305
470	10934	12280
471	10959	12259
472	10986	12240
473	11008	12216
474	11030	12191
475	11057	12173
476	11080	12149
477	11105	12127
478	11132	12108
479	11155	12084
480	11176	12059
481	11199	12036
482	11227	12017
483	11252	11996
484	11272	11970
485	11294	11945
486	11316	11920
487	11340	11898
488	11363	11875
489	11385	11850
490	11407	11825
491	11428	11800
492	11450	11775
493	11477	11756
494	11500	11732
495	11522	11708
496	11552	11691
497	11578	11671
498	11603	11650
499	11625	11625
500	11652	11605
501	11673	11580
502	11703	11563
503	11726	11539
504	11752	11519
505	11777	11498
506	11801	11475
507	11828	11455
508	11858	11439
509	11884	11418
510	11910	11397
511	11935	11376
512	11963	11357
513	11989	11336
514	12010	11311
515	12031	11285
516	12055	11262
517	12078	11238
518	12099	11213
519	12122	11189
520	12152	11172
521	12178	11152
522	12206	11133
523	12230	11109
524	12250	11083
525	12272	11059
526	12299	11039
527	12322	11015
528	12353	10999
529	12374	10973
530	12402	10954
531	12425	10930
532	12446	10905
533	12473	10885
534	12500	10864
535	12527	10844
536	12549	10819
537	12574	10798
538	12597	10774
539	12623	10753
540	12647	10730
541	12678	10713
542	12705	10693
543	12729	10669
544	12757	10650
545	12785	10630
546	12812	10610
547	12833	10585
548	12855	10560
549	12876	10535
550	12906	10517
551	12929	10493
552	12952	10469
553	12972	10443
554	12993	10418
555	13014	10392
556	13036	10368
557	13058	10343
558	13079	10318
559	13105	10297
560	13126	10271
561	13151	10249
562	13176	10227
563	13198	10203
564	13221	10179
565	13246	10157
566	13267	10132
567	13295	10112
568	13318	10088
569	13343	10066
570	13366	10042
571	13389	10018
572	13415	9996
573	13441	9975
574	13469	9955
575	13491	9930
576	13518	9910
577	13538	9884
578	13561	9860
579	13583	9835
580	13607	9813
581	13630	9789
582	13651	9764
583	13680	9744
584	13707	9724
585	13731	9700
586	13757	9679
587	13785	9659
588	13812	9638
589	13835	9614
590	13863	9593
591	13884	9569
592	13905	9543
593	13926	9518
594	13951	9496
595	13972	9471
596	13996	9448
597	14023	9426
598	14044	9401
599	14068	9378
600	14093	9356
601	14114	9331
602	14139	9308
603	14169	9290
604	14192	9265
605	14220	9245
606	14250	9226
607	14274	9203
608	14300	9181
609	14321	9156
610	14348	9135
611	14374	9113
612	14404	9094
613	14426	9069
614	14451	9046
615	14480	9026
616	14502	9002
617	14529	8980
618	14555	8958
619	14580	8936
620	14606	8914
621	14633	8893
622	14661	8872
623	14686	8849
624	14709	8825
625	14731	8800
626	14755	8777
627	14781	8756
628	14809	8734
629	14833	8711
630	14859	8689
631	14879	8664
632	14903	8641
633	14932	8620
634	14954	8596
635	14980	8573
636	15007	8552
637	15031	8528
638	15060	8508
639	15083	8484
640	15105	8460
641	15129	8436
642	15157	8415
643	15184	8393
644	15210	8371
645	15236	8349
646	15264	8328
647	15290	8305
648	15315	8282
649	15341	8260
650	15370	8240
651	15398	8218
652	15418	8193
653	15440	8168
654	15466	8146
655	15492	8124
656	15512	8098
657	15534	8074
658	15555	8049
659	15579	8025
660	15606	8003
661	15633	7982
662	15655	7957
663	15678	7933
664	15702	7910
665	15724	7886
666	15748	7862
667	15768	7837
668	15794	7814
669	15822	7793
670	15850	7771
671	15875	7748
672	15901	7726
673	15923	7701
674	15946	7678
675	15970	7654
676	15995	7631
677	16016	7606
678	16041	7583
679	16068	7561
680	16091	7537
681	16114	7513
682	16137	7490
683	16162	7466
684	16184	7442
685	16206	7418
686	16230	7394
687	16255	7371
688	16282	7349
689	16311	7328
690	16335	7304
691	16355	7279
692	16380	7256
693	16401	7231
694	16427	7209
695	16457	7188
696	16487	7167
697	16508	7142
698	16533	7119
699	16553	7094
700	16575	7070
701	16597	7045
702	16621	7021
703	16642	6997
704	16666	6974
705	16692	6951
706	16715	6927
707	16742	6905
708	16764	6880
709	16787	6856
710	16808	6832
711	16831	6808
712	16853	6783
713	16873	6758
714	16902	6737
715	16929	6714
716	16957	6693
717	16977	6668
718	17000	6644
719	17028	6622
720	17054	6599
721	17077	6575
722	17101	6552
723	17129	6529
724	17158	6508
725	17179	6483
726	17203	6460
727	17226	6436
728	17251	6412
729	17274	6389
730	17303	6367
731	17325	6343
732	17353	6320
733	17377	6297
734	17400	6273
735	17423	6249
736	17450	6227
737	17472	6202
738	17497	6179
739	17523	6156
740	17544	6132
741	17566	6108
742	17596	6086
743	17622	6063
744	17645	6039
745	17667	6015
746	17689	5991
747	17714	5967
748	17738	5944
749	17763	5921
750	17793	5899
751	17820	5876
752	17846	5854
753	17875	5832
754	17903	5809
755	17928	5786
756	17955	5763
757	17980	5740
758	18008	5718
759	18036	5695
760	18059	5671
761	18081	5647
762	18104	5623
763	18126	5599
764	18150	5575
765	18172	5551
766	18196	5527
767	18217	5503
768	18240	5479
769	18260	5454
770	18282	5430
771	18310	5407
772	18334	5384
773	18357	5360
774	18384	5337
775	18405	5312
776	18433	5290
777	18460	5267
778	18486	5244
779	18511	5221
780	18537	5198
781	18567	5176
782	18589	5151
783	18617	5129
784	18640	5105
785	18667	5082
786	18692	5058
787	18718	5036
788	18744	5012
789	18768	4989
790	18796	4966
791	18821	4943
792	18843	4918
793	18867	4895
794	18891	4871
795	18918	4848
796	18946	4825
797	18971	4802
798	18992	4777
799	19018	4754
800	19044	4731
801	19067	4707
802	19094	4684
803	19119	4661
804	19141	4636
805	19168	4613
806	19195	4590
807	19222	4567
808	19249	4544
809	19278	4522
810	19303	4498
811	19328	4475
812	19356	4452
813	19384	4429
814	19413	4406
815	19435	4382
816	19461	4359
817	19486	4335
818	19508	4311
819	19535	4288
820	19558	4264
821	19579	4239
822	19604	4216
823	19630	4192
824	19655	4169
825	19676	4145
826	19700	4121
827	19723	4097
828	19752	4074
829	19778	4050
830	19800	4026
831	19825	4003
832	19852	3980
833	19874	3955
834	19900	3932
835	19922	3908
836	19948	3884
837	19977	3861
838	20003	3838
839	20027	3814
840	20050	3790
841	20079	3767
842	20108	3744
843	20138	3722
844	20159	3697
845	20181	3673
846	20206	3650
847	20229	3626
848	20255	3602
849	20279	3578
850	20307	3555
851	20336	3532
852	20361	3508
853	20382	3484
854	20405	3460
855	20426	3436
856	20449	3412
857	20472	3388
858	20496	3364
859	20525	3341
860	20549	3317
861	20571	3293
862	20597	3269
863	20622	3246
864	20646	3222
865	20671	3198
866	20699	3175
867	20721	3151
868	20746	3127
869	20767	3103
870	20792	3079
871	20821	3056
872	20849	3033
873	20871	3008
874	20899	2985
875	20923	2961
876	20950	2938
877	20975	2914
878	21001	2890
879	21022	2866
880	21051	2843
881	21074	2819
882	21097	2795
883	21123	2771
884	21153	2748
885	21175	2724
886	21196	2700
887	21224	2676
888	21252	2653
889	21280	2630
890	21301	2605
891	21324	2581
892	21352	2558
893	21376	2534
894	21396	2510
895	21420	2486
896	21445	2462
897	21468	2438
898	21489	2414
899	21514	2390
900	21539	2366
901	21569	2343
902	21594	2319
903	21618	2295
904	21644	2272
905	21667	2248
906	21694	2224
907	21720	2200
908	21743	2176
909	21765	2152
910	21792	2129
911	21818	2105
912	21845	2081
913	21865	2057
914	21888	2033
915	21916	2009
916	21938	1985
917	21962	1961
918	21986	1937
919	22010	1913
920	22037	1890
921	22060	1866
922	22088	1842
923	22111	1818
924	22142	1795
925	22165	1771
926	22191	1747
927	22217	1723
928	22243	1699
929	22272	1676
930	22301	1652
931	22332	1629
932	22354	1605
933	22384	1581
934	22410	1557
935	22438	1534
936	22467	1510
937	22491	1486
938	22518	1462
939	22543	1438
940	22568	1415
941	22591	1390
942	22613	1366
943	22637	1342
944	22666	1319
945	22689	1295
946	22718	1271
947	22743	1247
948	22766	1223
949	22793	1199
950	22815	1175
951	22844	1151
952	22872	1128
953	22896	1104
954	22918	1079
955	22943	1055
956	22965	1031
957	22988	1007
958	23014	983
959	23041	960
960	23064	936
961	23094	912
962	23117	888
963	23141	864
964	23162	840
965	23188	816
966	23215	792
967	23238	768
968	23265	744
969	23296	720
970	23323	696
971	23353	672
972	23379	648
973	23408	624
974	23433	600
975	23459	576
976	23486	552
977	23506	528
978	23532	504
979	23554	480
980	23577	456
981	23604	432
982	23626	408
983	23652	384
984	23679	360
985	23706	336
986	23726	312
987	23750	288
988	23775	264
989	23800	240
990	23829	216
991	23853	192
992	23880	168
993	23905	144
994	23928	120
995	23955	96
996	23975	72
997	23999	48
998	24030	24
999	24050	0
