iter	MultiClass
0	1.748228889
1	1.621355248
2	1.514470898
3	1.432784002
4	1.371026664
5	1.306447962
6	1.258764381
7	1.199220322
8	1.15998785
9	1.111190023
10	1.073843971
11	1.034113755
12	1.004977851
13	0.9792456351
14	0.9559340925
15	0.929728066
16	0.9107354814
17	0.8947092839
18	0.8738292659
19	0.8608716817
20	0.8463608262
21	0.8308076787
22	0.8157322463
23	0.8034123592
24	0.7903491514
25	0.7819640626
26	0.7708077092
27	0.7636761091
28	0.7571194303
29	0.7516037759
30	0.7436921935
31	0.7345065859
32	0.7289649693
33	0.7225719742
34	0.7156240366
35	0.7111689289
36	0.703391772
37	0.6972585513
38	0.6923513865
39	0.6876929419
40	0.6837845622
41	0.6792594782
42	0.6742673278
43	0.6703384115
44	0.6661177245
45	0.6619497732
46	0.658614033
47	0.6551889969
48	0.6517355139
49	0.6466807397
50	0.6438282923
51	0.6387063814
52	0.6351900212
53	0.6323343793
54	0.6277861727
55	0.6251800115
56	0.6226812488
57	0.6197575067
58	0.6177157704
59	0.6151037272
60	0.6109993631
61	0.6067712728
62	0.6032520729
63	0.6006755756
64	0.5988294687
65	0.5956657282
66	0.5932899818
67	0.5906827051
68	0.5892005257
69	0.5868382675
70	0.5854696729
71	0.5827087018
72	0.5807597602
73	0.5786398329
74	0.5767876412
75	0.5741397985
76	0.5725900768
77	0.5705769395
78	0.568429833
79	0.5663080296
80	0.5646828045
81	0.5630266478
82	0.5613710489
83	0.559544008
84	0.5580565043
85	0.5571157286
86	0.5552797125
87	0.5538069648
88	0.5525073323
89	0.5511136375
90	0.549693879
91	0.5487096977
92	0.5475612242
93	0.5461758454
94	0.5450355358
95	0.5442270559
96	0.5424290197
97	0.5416169395
98	0.5403963093
99	0.5394038627
100	0.53799455
101	0.5365605427
102	0.5356810723
103	0.5339439358
104	0.5327776133
105	0.5314730622
106	0.5307507342
107	0.5290703394
108	0.5281162783
109	0.5275192993
110	0.526949753
111	0.526332643
112	0.524997566
113	0.5242349257
114	0.5225818114
115	0.5212277191
116	0.5197593322
117	0.5185079732
118	0.5170734589
119	0.5162594519
120	0.5152145737
121	0.5144712022
122	0.5138194591
123	0.5123858575
124	0.5104262673
125	0.5093226699
126	0.5081068062
127	0.5071839302
128	0.5062881827
129	0.5050890525
130	0.5041239879
131	0.5030625284
132	0.5022170827
133	0.50148796
134	0.5007651757
135	0.4995212708
136	0.4987081258
137	0.4979406175
138	0.4973610818
139	0.4966913375
140	0.4961807133
141	0.4956209535
142	0.4944202006
143	0.4938574998
144	0.4930778725
145	0.4923806448
146	0.4916718557
147	0.49112457
148	0.4903266372
149	0.4899012016
150	0.4890974882
151	0.4882042254
152	0.487674028
153	0.4864293625
154	0.4854299182
155	0.4844320966
156	0.4836325919
157	0.482943021
158	0.4822637945
159	0.4817147847
160	0.481177539
161	0.4804200708
162	0.4798816082
163	0.4794575923
164	0.4787985473
165	0.4780356027
166	0.4774983571
167	0.4767652792
168	0.4761115078
169	0.4758154775
170	0.4751334621
171	0.4744265492
172	0.473750213
173	0.473373355
174	0.4724458647
175	0.4715543767
176	0.4706253651
177	0.47023796
178	0.4688658159
179	0.4682610279
180	0.4673402816
181	0.4665965551
182	0.466153524
183	0.4655707937
184	0.4650010446
185	0.4646688092
186	0.4641569173
187	0.4634939171
188	0.4624598904
189	0.4619178275
190	0.4610129527
191	0.4604331635
192	0.4600662442
193	0.45952408
194	0.4587235104
195	0.4580935715
196	0.4574418791
197	0.4568045876
198	0.4563518206
199	0.4557648309
200	0.454993621
201	0.4545824848
202	0.4541263711
203	0.4537116347
204	0.453128296
205	0.4526725372
206	0.4522191617
207	0.4518652743
208	0.4513219945
209	0.4508744503
210	0.4501658134
211	0.449644997
212	0.4492037406
213	0.4485012393
214	0.4482122574
215	0.4476866238
216	0.4470236743
217	0.4463663534
218	0.4456668438
219	0.4453141226
220	0.4447091318
221	0.4441030761
222	0.4435758705
223	0.4426977693
224	0.4422923123
225	0.4418548083
226	0.4414698879
227	0.4410014016
228	0.4405128858
229	0.439778743
230	0.4393652236
231	0.4389508421
232	0.4384991907
233	0.4379580913
234	0.4372902739
235	0.4367699645
236	0.4361751152
237	0.435846328
238	0.4353426
239	0.4350202019
240	0.4343050237
241	0.4339443415
242	0.4332588779
243	0.4327224435
244	0.4322613605
245	0.4316028733
246	0.4311574589
247	0.4304882217
248	0.4299296282
249	0.4295266559
250	0.4290969101
251	0.4285981514
252	0.4281507594
253	0.4277316114
254	0.4272516145
255	0.4268045268
256	0.4262156609
257	0.4255308058
258	0.4248520102
