iter	Passed	Remaining
401	19486	28986
402	19540	28947
403	19584	28891
404	19636	28848
405	19683	28798
406	19740	28761
407	19785	28707
408	19838	28667
409	19890	28623
410	19944	28582
411	19998	28540
412	20050	28498
413	20101	28453
414	20153	28408
415	20208	28369
416	20260	28325
417	20311	28281
418	20358	28229
419	20408	28182
420	20456	28134
421	20502	28081
422	20547	28027
423	20567	27940
424	20619	27896
425	20667	27847
426	20712	27794
427	20761	27747
428	20801	27686
429	20859	27651
430	20905	27599
431	20950	27545
432	20997	27495
433	21047	27448
434	21100	27406
435	21149	27359
436	21199	27311
437	21248	27263
438	21295	27214
439	21348	27171
440	21389	27112
441	21437	27063
442	21487	27017
443	21535	26967
444	21592	26930
445	21639	26879
446	21685	26828
447	21734	26780
448	21772	26718
449	21818	26667
450	21868	26620
451	21921	26577
452	21966	26524
453	22014	26476
454	22058	26422
455	22102	26367
456	22158	26328
457	22211	26285
458	22263	26240
459	22310	26190
460	22365	26150
461	22414	26102
462	22467	26058
463	22502	25994
464	22553	25949
465	22608	25907
466	22661	25864
467	22712	25818
468	22769	25779
469	22814	25726
470	22858	25673
471	22906	25624
472	22951	25571
473	23001	25524
474	23022	25446
475	23073	25400
476	23118	25348
477	23171	25304
478	23223	25259
479	23272	25212
480	23317	25159
481	23361	25106
482	23411	25059
483	23460	25011
484	23504	24958
485	23555	24912
486	23611	24872
487	23655	24818
488	23702	24769
489	23751	24721
490	23800	24673
491	23848	24623
492	23901	24580
493	23949	24531
494	23995	24480
495	24055	24443
496	24102	24393
497	24145	24339
498	24202	24299
499	24254	24254
500	24303	24206
501	24355	24161
502	24404	24113
503	24454	24065
504	24510	24025
505	24553	23971
506	24610	23930
507	24656	23880
508	24703	23829
509	24751	23780
510	24798	23731
511	24849	23684
512	24904	23641
513	24959	23599
514	25003	23546
515	25052	23499
516	25108	23457
517	25168	23419
518	25220	23373
519	25272	23328
520	25325	23284
521	25374	23235
522	25428	23191
523	25481	23147
524	25529	23098
525	25577	23048
526	25620	22995
527	25672	22950
528	25724	22904
529	25775	22857
530	25821	22806
531	25867	22755
532	25908	22699
533	25958	22653
534	26010	22607
535	26062	22561
536	26113	22515
537	26162	22466
538	26207	22414
539	26252	22363
540	26303	22316
541	26347	22264
542	26391	22211
543	26437	22160
544	26483	22110
545	26532	22062
546	26581	22013
547	26629	21964
548	26668	21908
549	26718	21860
550	26762	21808
551	26819	21766
552	26873	21722
553	26913	21666
554	26966	21621
555	27018	21576
556	27072	21531
557	27118	21480
558	27166	21432
559	27214	21382
560	27267	21337
561	27317	21290
562	27375	21248
563	27423	21199
564	27474	21152
565	27519	21101
566	27570	21054
567	27623	21009
568	27673	20961
569	27718	20910
570	27776	20868
571	27830	20824
572	27883	20778
573	27931	20729
574	27979	20680
575	28033	20636
576	28090	20593
577	28136	20542
578	28195	20501
579	28245	20453
580	28304	20412
581	28354	20364
582	28416	20325
583	28467	20277
584	28519	20231
585	28570	20184
586	28626	20140
587	28674	20091
588	28722	20042
589	28770	19993
590	28824	19947
591	28876	19901
592	28922	19850
593	28980	19808
594	29027	19758
595	29074	19708
596	29128	19663
597	29179	19615
598	29231	19569
599	29273	19515
600	29318	19464
601	29364	19413
602	29421	19370
603	29476	19325
604	29525	19277
605	29570	19225
606	29619	19177
607	29670	19129
608	29722	19083
609	29778	19038
610	29825	18988
611	29879	18943
612	29922	18890
613	29966	18838
614	30014	18789
615	30069	18744
616	30119	18696
617	30168	18647
618	30217	18599
619	30265	18549
620	30311	18499
621	30356	18448
622	30412	18403
623	30456	18351
624	30499	18299
625	30554	18254
626	30594	18200
627	30643	18151
628	30696	18105
629	30755	18062
630	30801	18012
631	30853	17965
632	30905	17918
633	30962	17874
634	31014	17827
635	31074	17784
636	31127	17738
637	31183	17693
638	31244	17651
639	31300	17606
640	31351	17558
641	31410	17515
642	31456	17464
643	31501	17413
644	31540	17359
645	31591	17311
646	31642	17264
647	31688	17213
648	31734	17163
649	31785	17115
650	31833	17065
651	31881	17016
652	31926	16965
653	31978	16918
654	32029	16870
655	32081	16823
656	32129	16773
657	32195	16734
658	32238	16681
659	32294	16636
660	32343	16587
661	32395	16540
662	32444	16491
663	32494	16442
664	32549	16397
665	32598	16348
666	32646	16298
667	32693	16248
668	32740	16199
669	32790	16150
670	32843	16103
671	32891	16053
672	32939	16004
673	32987	15955
674	33032	15904
675	33078	15854
676	33128	15805
677	33180	15758
678	33227	15708
679	33274	15658
680	33323	15609
681	33372	15560
682	33420	15511
683	33471	15463
684	33527	15417
685	33576	15369
686	33641	15327
687	33694	15279
688	33746	15232
689	33802	15186
690	33856	15139
691	33908	15092
692	33968	15047
693	34024	15001
694	34071	14952
695	34133	14908
696	34184	14860
697	34236	14812
698	34281	14762
699	34327	14711
700	34380	14664
701	34428	14614
702	34481	14567
703	34526	14516
704	34575	14467
705	34637	14423
706	34680	14372
707	34721	14320
708	34770	14271
709	34824	14224
710	34874	14175
711	34922	14126
712	34973	14077
713	35018	14027
714	35069	13978
715	35139	13938
716	35190	13889
717	35238	13840
718	35284	13789
719	35324	13737
720	35376	13689
721	35431	13642
722	35479	13593
723	35529	13544
724	35589	13499
725	35639	13450
726	35687	13401
727	35729	13349
728	35783	13302
729	35826	13251
730	35873	13201
731	35922	13152
732	35969	13102
733	36023	13054
734	36070	13004
735	36119	12955
736	36164	12905
737	36211	12855
738	36265	12808
739	36323	12762
740	36373	12713
741	36423	12664
742	36478	12617
743	36524	12567
744	36572	12518
745	36619	12468
746	36673	12420
747	36730	12374
748	36783	12326
749	36834	12278
750	36893	12232
751	36947	12184
752	36995	12135
753	37045	12086
754	37104	12040
755	37152	11990
756	37199	11941
757	37244	11890
758	37294	11841
759	37338	11791
760	37384	11741
761	37433	11691
762	37455	11634
763	37493	11581
764	37544	11533
765	37594	11484
766	37637	11433
767	37684	11383
768	37729	11333
769	37783	11285
770	37832	11236
771	37890	11190
772	37939	11141
773	37988	11092
774	38038	11043
775	38087	10994
776	38132	10944
777	38183	10895
778	38235	10847
779	38281	10797
780	38342	10751
781	38388	10701
782	38436	10652
783	38480	10601
784	38531	10553
785	38575	10502
786	38624	10453
787	38675	10404
788	38725	10356
789	38768	10305
790	38810	10254
791	38862	10206
792	38910	10156
793	38961	10108
794	39013	10060
795	39070	10013
796	39121	9964
797	39153	9911
798	39207	9863
799	39254	9813
800	39311	9766
801	39368	9719
802	39422	9671
803	39476	9623
804	39525	9574
805	39576	9525
806	39628	9477
807	39661	9424
808	39709	9375
809	39761	9326
810	39817	9279
811	39864	9229
812	39910	9179
813	39956	9130
814	40002	9080
815	40044	9029
816	40097	8981
817	40161	8935
818	40213	8887
819	40264	8838
820	40318	8790
821	40367	8741
822	40419	8692
823	40469	8644
824	40520	8595
825	40566	8545
826	40615	8496
827	40666	8447
828	40718	8399
829	40763	8349
830	40814	8300
831	40861	8250
832	40906	8200
833	40954	8151
834	40996	8101
835	41043	8051
836	41094	8002
837	41142	7953
838	41196	7905
839	41239	7855
840	41283	7805
841	41331	7755
842	41374	7705
843	41425	7656
844	41477	7608
845	41525	7559
846	41572	7509
847	41615	7459
848	41662	7409
849	41713	7361
850	41757	7311
851	41806	7262
852	41860	7214
853	41908	7164
854	41966	7117
855	42021	7069
856	42071	7020
857	42122	6971
858	42168	6921
859	42223	6873
860	42275	6824
861	42327	6776
862	42380	6727
863	42452	6682
864	42504	6633
865	42527	6580
866	42579	6531
867	42630	6483
868	42679	6433
869	42740	6386
870	42801	6339
871	42849	6289
872	42894	6240
873	42938	6190
874	42988	6141
875	43040	6092
876	43088	6043
877	43135	5993
878	43184	5944
879	43237	5896
880	43285	5846
881	43332	5797
882	43385	5748
883	43441	5700
884	43490	5651
885	43527	5600
886	43573	5551
887	43623	5502
888	43670	5452
889	43718	5403
890	43769	5354
891	43826	5306
892	43872	5256
893	43920	5207
894	43969	5158
895	44023	5109
896	44083	5061
897	44127	5012
898	44176	4963
899	44223	4913
900	44272	4864
901	44315	4814
902	44353	4764
903	44393	4714
904	44436	4664
905	44491	4616
906	44539	4566
907	44589	4517
908	44627	4467
909	44685	4419
910	44731	4370
911	44783	4321
912	44839	4272
913	44891	4223
914	44943	4175
915	44996	4126
916	45053	4077
917	45106	4029
918	45159	3980
919	45215	3931
920	45270	3883
921	45327	3834
922	45371	3785
923	45419	3735
924	45468	3686
925	45523	3637
926	45572	3588
927	45621	3539
928	45667	3490
929	45716	3441
930	45767	3392
931	45816	3342
932	45869	3293
933	45914	3244
934	45968	3195
935	46020	3146
936	46075	3097
937	46125	3048
938	46175	2999
939	46224	2950
940	46272	2901
941	46328	2852
942	46375	2803
943	46421	2753
944	46467	2704
945	46515	2655
946	46567	2606
947	46613	2556
948	46664	2507
949	46716	2458
950	46767	2409
951	46815	2360
952	46863	2311
953	46912	2262
954	46961	2212
955	47009	2163
956	47057	2114
957	47107	2065
958	47154	2015
959	47205	1966
960	47248	1917
961	47294	1868
962	47342	1818
963	47395	1769
964	47445	1720
965	47490	1671
966	47546	1622
967	47599	1573
968	47654	1524
969	47709	1475
970	47762	1426
971	47825	1377
972	47876	1328
973	47924	1279
974	47980	1230
975	48040	1181
976	48093	1132
977	48151	1083
978	48206	1034
979	48257	984
980	48305	935
981	48352	886
982	48407	837
983	48451	787
984	48496	738
985	48552	689
986	48603	640
987	48657	590
988	48708	541
989	48768	492
990	48818	443
991	48866	394
992	48913	344
993	48962	295
994	49017	246
995	49074	197
996	49123	147
997	49175	98
998	49223	49
999	49275	0
