iter	MultiClass
0	0.6380543341
1	0.4864475664
2	0.3935467645
3	0.348513333
4	0.3031606727
5	0.2781340259
6	0.2658613222
7	0.2460359688
8	0.2320602293
9	0.2227607074
10	0.2148816792
11	0.2097032548
12	0.2028376534
13	0.1962684499
14	0.1871641264
15	0.1786071013
16	0.1737933143
17	0.1684214029
18	0.1642694879
19	0.1599875843
20	0.1550945035
21	0.1485952509
22	0.1462659019
23	0.1420946419
24	0.1398006486
25	0.1376713279
26	0.134748283
27	0.1332173865
28	0.1310392471
29	0.1292552695
30	0.1270585965
31	0.1232765545
32	0.1204461776
33	0.1187718676
34	0.1151170506
35	0.112009494
36	0.1103522597
37	0.107677504
38	0.106170085
39	0.1040173501
40	0.1026784954
41	0.09992914899
42	0.09709926013
43	0.09499493813
44	0.09368643185
45	0.09185708378
46	0.09102728138
47	0.08962762208
48	0.08790854375
49	0.08698049562
50	0.08503707477
51	0.08302119293
52	0.08130651981
53	0.07994004222
54	0.07895656449
55	0.07827100582
56	0.07667067805
57	0.07498256297
58	0.07430771626
59	0.07310796483
60	0.07147490538
61	0.0701948143
62	0.06861800212
63	0.06737282313
64	0.0669107513
65	0.06646948855
66	0.0656903239
67	0.06444297083
68	0.06359359534
69	0.0624763006
70	0.06186481287
71	0.06075925056
72	0.05969171252
73	0.0588363282
74	0.05789854424
75	0.0567150192
76	0.05615343396
77	0.05551023505
78	0.05473223033
79	0.05403029315
80	0.05355968979
81	0.05301728149
82	0.05214475487
83	0.05114679065
84	0.05057298491
85	0.04992317818
86	0.0492606312
87	0.04867897214
88	0.04827676049
89	0.04781910021
90	0.04701944023
91	0.04632995491
92	0.04536611998
93	0.04480847408
94	0.04405649497
95	0.04355627845
96	0.04318549908
97	0.04275111037
98	0.04226602686
99	0.04173521788
100	0.04145294524
101	0.04057659655
102	0.04006527826
103	0.039549222
104	0.03926511121
105	0.03879746156
106	0.03839233105
107	0.03775677312
108	0.03747964729
109	0.03702410088
110	0.03650474863
111	0.03624312343
112	0.03583579349
