iter	Passed	Remaining
399	66721	100081
400	66889	99916
401	67056	99751
402	67197	99546
403	67359	99371
404	67519	99194
405	67686	99029
406	67845	98850
407	68029	98709
408	68177	98515
409	68316	98308
410	68505	98174
411	68667	98001
412	68837	97839
413	69010	97681
414	69196	97542
415	69384	97405
416	69549	97235
417	69719	97073
418	69897	96922
419	70039	96720
420	70231	96588
421	70413	96442
422	70580	96276
423	70735	96093
424	70914	95943
425	71058	95745
426	71235	95591
427	71375	95389
428	71556	95241
429	71740	95098
430	71896	94916
431	72104	94803
432	72280	94648
433	72425	94453
434	72618	94320
435	72773	94138
436	72945	93977
437	73119	93820
438	73288	93655
439	73458	93492
440	73599	93293
441	73802	93171
442	73976	93013
443	74147	92851
444	74304	92672
445	74490	92528
446	74647	92349
447	74813	92181
448	74954	91982
449	75102	91791
450	75274	91631
451	75451	91476
452	75633	91328
453	75781	91138
454	75983	91013
455	76132	90825
456	76303	90662
457	76443	90463
458	76626	90316
459	76804	90162
460	77006	90035
461	77155	89847
462	77309	89665
463	77483	89506
464	77648	89336
465	77845	89204
466	77984	89006
467	78157	88845
468	78296	88646
469	78461	88477
470	78627	88309
471	78768	88114
472	78939	87951
473	79118	87797
474	79304	87652
475	79474	87488
476	79644	87324
477	79822	87170
478	80005	87021
479	80190	86873
480	80329	86675
481	80508	86521
482	80648	86325
483	80806	86149
484	80978	85987
485	81125	85799
486	81281	85620
487	81421	85425
488	81560	85230
489	81705	85039
490	81876	84878
491	82030	84697
492	82210	84545
493	82356	84356
494	82538	84206
495	82678	84011
496	82857	83857
497	83028	83695
498	83213	83547
499	83353	83353
500	83525	83192
501	83709	83042
502	83903	82902
503	84067	82732
504	84252	82584
505	84422	82420
506	84589	82253
507	84761	82091
508	84907	81905
509	85048	81712
510	85221	81552
511	85397	81394
512	85576	81239
513	85759	81087
514	85939	80933
515	86106	80766
516	86272	80598
517	86449	80441
518	86589	80249
519	86753	80080
520	86893	79888
521	87064	79725
522	87239	79566
523	87419	79411
524	87605	79261
525	87773	79096
526	87945	78934
527	88112	78767
528	88272	78594
529	88442	78429
530	88601	78256
531	88789	78107
532	88958	77942
533	89143	77791
534	89315	77629
535	89485	77464
536	89627	77276
537	89808	77121
538	89997	76973
539	90153	76797
540	90329	76638
541	90509	76482
542	90658	76299
543	90809	76119
544	90992	75966
545	91165	75803
546	91333	75637
547	91478	75452
548	91662	75299
549	91865	75162
550	92005	74973
551	92168	74803
552	92321	74625
553	92488	74458
554	92631	74272
555	92787	74096
556	92964	73937
557	93119	73761
558	93281	73590
559	93422	73403
560	93587	73235
561	93747	73063
562	93916	72897
563	94067	72718
564	94229	72548
565	94408	72390
566	94567	72218
567	94741	72057
568	94912	71893
569	95071	71720
570	95247	71561
571	95388	71374
572	95559	71210
573	95737	71052
574	95913	70892
575	96063	70713
576	96255	70565
577	96403	70384
578	96569	70217
579	96731	70047
580	96910	69888
581	97048	69701
582	97186	69514
583	97357	69350
584	97496	69163
585	97667	69000
586	97859	68851
587	97997	68665
588	98165	68499
589	98306	68314
590	98503	68169
591	98666	68000
592	98877	67863
593	99049	67700
594	99199	67522
595	99349	67344
596	99508	67172
597	99690	67015
598	99886	66868
599	100057	66704
600	100237	66547
601	100418	66389
602	100582	66220
603	100765	66064
604	100942	65904
605	101126	65748
606	101286	65577
607	101463	65417
608	101625	65247
609	101789	65078
610	101994	64935
611	102169	64774
612	102362	64623
613	102572	64483
614	102749	64323
615	102910	64152
616	103055	63970
617	103243	63817
618	103418	63655
619	103591	63491
620	103793	63346
621	103934	63162
622	104087	62986
623	104260	62823
624	104397	62638
625	104564	62471
626	104729	62303
627	104902	62139
628	105070	61973
629	105237	61806
630	105412	61643
631	105585	61479
632	105726	61297
633	105892	61130
634	106089	60980
635	106252	60810
636	106424	60646
637	106600	60485
638	106792	60331
639	106980	60176
640	107170	60022
641	107341	59856
642	107481	59675
643	107658	59513
644	107809	59336
645	107975	59169
646	108149	59005
647	108335	58849
648	108495	58677
649	108636	58496
650	108819	58337
651	109009	58182
652	109188	58021
653	109344	57848
654	109543	57698
655	109700	57525
656	109875	57362
657	110057	57202
658	110198	57022
659	110398	56872
660	110601	56722
661	110773	56558
662	110944	56392
663	111118	56228
664	111279	56058
665	111427	55880
666	111595	55713
667	111737	55534
668	111906	55367
669	112072	55199
670	112271	55048
671	112437	54880
672	112588	54705
673	112778	54548
674	112915	54366
675	113071	54194
676	113212	54014
677	113377	53845
678	113523	53668
679	113680	53496
680	113864	53337
681	114059	53183
682	114226	53015
683	114402	52852
684	114571	52685
685	114754	52526
686	114957	52375
687	115152	52220
688	115312	52049
689	115483	51883
690	115662	51721
691	115824	51552
692	115998	51387
693	116162	51218
694	116316	51045
695	116462	50868
696	116631	50702
697	116809	50539
698	116980	50373
699	117126	50196
700	117303	50033
701	117446	49855
702	117592	49679
703	117740	49504
704	117891	49330
705	118041	49156
706	118179	48976
707	118342	48808
708	118523	48646
709	118695	48481
710	118873	48318
711	119056	48157
712	119244	47998
713	119427	47837
714	119583	47666
715	119756	47501
716	119955	47346
717	120139	47185
718	120312	47020
719	120489	46856
720	120670	46694
721	120831	46525
722	121010	46362
723	121183	46197
724	121355	46031
725	121504	45856
726	121668	45688
727	121828	45518
728	121995	45351
729	122137	45174
730	122284	44999
731	122443	44828
732	122606	44660
733	122746	44482
734	122920	44318
735	123058	44140
736	123217	43970
737	123390	43805
738	123582	43646
739	123740	43476
740	123904	43308
741	124095	43149
742	124267	42983
743	124467	42827
744	124615	42653
745	124799	42492
746	124994	42334
747	125139	42159
748	125290	41986
749	125464	41821
750	125624	41651
751	125807	41489
752	125991	41327
753	126149	41157
754	126304	40986
755	126499	40827
756	126682	40665
757	126823	40489
758	127027	40334
759	127194	40166
760	127334	39990
761	127476	39815
762	127660	39653
763	127823	39484
764	128014	39324
765	128186	39158
766	128344	38988
767	128514	38822
768	128686	38656
769	128825	38480
770	128964	38304
771	129127	38136
772	129298	37970
773	129452	37798
774	129602	37626
775	129784	37463
776	129972	37302
777	130114	37127
778	130280	36960
779	130477	36801
780	130655	36637
781	130846	36476
782	131014	36309
783	131159	36135
784	131332	35970
785	131507	35804
786	131681	35639
787	131863	35476
788	132027	35307
789	132201	35142
790	132355	34971
791	132519	34803
792	132695	34638
793	132864	34471
794	133007	34297
795	133151	34124
796	133304	33953
797	133475	33786
798	133659	33623
799	133835	33458
800	133986	33287
801	134151	33119
802	134293	32946
803	134467	32780
804	134604	32606
805	134769	32438
806	134941	32272
807	135117	32107
808	135301	31943
809	135447	31771
810	135624	31606
811	135777	31436
812	135967	31274
813	136104	31100
814	136243	30926
815	136389	30754
816	136560	30588
817	136722	30419
818	136891	30253
819	137077	30090
820	137250	29924
821	137416	29756
822	137557	29584
823	137697	29411
824	137865	29244
825	138010	29072
826	138189	28907
827	138360	28741
828	138512	28571
829	138677	28403
830	138836	28235
831	139011	28069
832	139200	27906
833	139381	27742
834	139552	27576
835	139728	27410
836	139884	27241
837	140086	27081
838	140276	26918
839	140428	26748
840	140572	26576
841	140743	26410
842	140902	26241
843	141039	26069
844	141217	25903
845	141388	25737
846	141578	25574
847	141741	25406
848	141924	25242
849	142115	25079
850	142266	24909
851	142450	24744
852	142638	24581
853	142830	24418
854	142969	24246
855	143108	24074
856	143270	23906
857	143446	23740
858	143613	23573
859	143803	23409
860	143996	23246
861	144149	23077
862	144335	22913
863	144502	22745
864	144649	22575
865	144791	22404
866	144972	22239
867	145126	22069
868	145285	21901
869	145472	21737
870	145658	21572
871	145845	21408
872	146034	21244
873	146205	21077
874	146358	20908
875	146527	20741
876	146721	20577
877	146894	20411
878	147061	20243
879	147207	20073
880	147374	19906
881	147543	19739
882	147714	19572
883	147889	19406
884	148029	19235
885	148198	19068
886	148385	18903
887	148525	18732
888	148724	18569
889	148910	18404
890	149076	18237
891	149257	18071
892	149438	17905
893	149625	17740
894	149780	17571
895	149986	17409
896	150148	17241
897	150313	17073
898	150459	16903
899	150630	16736
900	150813	16571
901	150961	16401
902	151137	16235
903	151282	16065
904	151454	15898
905	151621	15731
906	151817	15566
907	152013	15402
908	152200	15236
909	152372	15069
910	152526	14901
911	152718	14735
912	152899	14569
913	153060	14401
914	153218	14233
915	153376	14065
916	153560	13899
917	153698	13729
918	153872	13562
919	154033	13394
920	154197	13226
921	154384	13060
922	154536	12892
923	154731	12726
924	154869	12556
925	155017	12387
926	155207	12222
927	155399	12056
928	155538	11887
929	155677	11717
930	155817	11548
931	155976	11380
932	156153	11213
933	156323	11046
934	156480	10878
935	156636	10710
936	156795	10542
937	156961	10374
938	157143	10208
